geom_x_y;M2;N_AR
48.8593483183,2.32377909915;55.3612508;7
48.859419786,2.32353268415;120.0834279;7
48.8600337014,2.32409300868;3.8241076;7
48.8594756974,2.32389075905;90.5144353;7
48.8605095717,2.31094990462;94.7731032;7
48.8605060036,2.31066813461;41.1263553;7
48.8601470735,2.3111012445;3.6632775;7
48.8609386539,2.31124899804;3.3611983;7
48.8600556735,2.3151243218;249.7896176;7
48.8604478537,2.31559611998;7.3099066;7
48.8602293449,2.31609563201;71.0635276;7
48.8605837368,2.31649320455;13.3623192;7
48.8611743386,2.31541300079;24.7818099;7
48.8601377662,2.3168317851;1554.268295;7
48.8602660082,2.31681150066;66.0754056;7
48.8607156555,2.31742665688;268.7540842;7
48.8600169277,2.31794734421;17.9962646;7
48.8601870621,2.31810131704;115.7410788;7
48.8599911272,2.31790569017;19.3669715;7
48.8725519262,2.29664433364;70.248862;8
48.872038018,2.29813425724;1.7052532;8
48.873397271,2.31127209231;10.5432026;8
48.8735958073,2.31131274656;3.3143216;8
48.8735143621,2.3129219115;10.0546123;8
48.8736734409,2.31389692086;0.4300003;8
48.8736051776,2.31347759495;15.9226317;8
48.8737639069,2.31267833299;179.0714991;8
48.873700796,2.31297922258;12.7021002;8
48.8735946899,2.31299762546;121.3997825;8
48.8737563218,2.31429494246;1.6254583;8
48.8748807738,2.30978245874;43.658382;8
48.8754546088,2.31054859242;750.5242012;8
48.8748253348,2.30973495873;96.6011294;8
48.8743286237,2.31228046159;179.2230238;8
48.8742276373,2.31215975737;58.6529603;8
48.8743657635,2.31294862549;289.4561344;8
48.8740068003,2.31269329766;5.8661623;8
48.8748041702,2.31283139136;196.5249615;8
48.8744430086,2.31382113413;156.4685844;8
48.8743369924,2.31373461707;12.6618444;8
48.874446563,2.31382392161;8.6877288;8
48.8748713031,2.31487654657;25.2502751;8
48.8742921491,2.31631774565;74.4711127;8
48.8745726741,2.31598255401;3.5017401;8
48.8743528835,2.31560077976;223.7920937;8
48.874147946,2.31566060287;1.2410418;8
48.8745492573,2.31688193847;125.679952;8
48.8747005035,2.31761156094;69.4762171;8
48.8745580073,2.31806903705;56.9939846;8
48.8749396077,2.31263564446;8.0774998;8
48.8754164616,2.31215396498;233.8977233;8
48.8748817851,2.31163843081;3.6203485;8
48.8760139573,2.31454287329;1090.4531825;8
48.8757420386,2.31387936805;296.7311343;8
48.8748564357,2.31525337458;10.9879224;8
48.8748248446,2.31574368032;28.0613033;8
48.8753174756,2.31783695799;153.6909254;8
48.8751084037,2.31830242754;58.7482547;8
48.8753041089,2.32094982311;111.5778665;8
48.8753299357,2.30938267936;5.4376112;8
48.8763196644,2.34755639538;2.8500031999999997;9
48.8760944534,2.34815653232;160.7518024;9
48.8752503194,2.34213580034;249.9456553;9
48.8720270391,2.34291612238;4.463278;9
48.8718617271,2.34292870971;131.3177069;9
48.8728683677,2.33837902537;153.1070602;9
48.8714250749,2.34684776642;35.048668;9
48.8711986505,2.34674277829;24.6590718;9
48.8712716512,2.34632093421;2.8683463;9
48.8720113692,2.34462113863;4.334041;9
48.8722391399,2.34111084116;104.5528532;9
48.871287544,2.34777984956;15.8912919;9
48.8711006166,2.34730407648;155.2481109;9
48.8711039567,2.34679829436;188.7897598;9
48.8712652549,2.34717244606;44.1741075;9
48.8717447959,2.34419918843;22.2715936;9
48.871817219,2.3466204987;18.6631292;9
48.8724992605,2.3465202307;137.868714;9
48.8720023031,2.34377356007;71.6512699;9
48.8717174649,2.34402595452;63.6054033;9
48.8722327004,2.3474135429;763.8317686;9
48.872974887,2.33828892699;27.1442945;9
48.8724822638,2.33887008013;517.0882444;9
48.8723780358,2.34757160183;2.5735422999999997;9
48.8721017754,2.34387148039;158.3061622;9
48.8722770026,2.3439795251;48.6239293;9
48.8726705501,2.3418106137;17.2222884;9
48.8727623839,2.34195675609;305.4892378;9
48.8726060769,2.34162866813;29.9081542;9
48.8726166108,2.3406772359;3.9380151999999997;9
48.8486537185,2.32538832443;5.0279847;6
48.8485426378,2.32536700776;19.4873299;6
48.8486861749,2.32521141127;4.1364277;6
48.8479121253,2.32637128521;259.4324946;6
48.8480079414,2.32662618391;11.6214623;6
48.8727865625,2.34436276321;1.5169696;9
48.8721448514,2.34433432223;27.1466579;9
48.8722214247,2.344478986;12.8945856;9
48.8483305399,2.33019870069;13.2611045;6
48.847767637,2.33115075073;121.3576457;6
48.847788295,2.33058265073;4.1521196;6
48.8490091583,2.32287440391;270.9740078;6
48.848685108,2.32375640156;24.5921954;6
48.8485732202,2.32415182665;50.6997854;6
48.8487706142,2.32479323343;76.2055824;6
48.8485571985,2.32505966067;20.3230681;6
48.8484605462,2.32496739455;13.219279;6
48.8489265613,2.3250411095;282.0047502;6
48.848683584,2.32584025893;4.6210938;6
48.8489191434,2.3290234568;2.0830165;6
48.8492942956,2.33086799875;12.9507695;6
48.8486780557,2.33117995938;4.4160668;6
48.8487163428,2.3309370993;5.8356741;6
48.84887808,2.33119283369;2.6491553;6
48.8496272717,2.32366664077;9.6355384;6
48.8496211223,2.32428768688;67.6466576;6
48.8498077009,2.32363503102;60.6028409;6
48.8496979498,2.32500054231;859.939958;6
48.8499301509,2.32555419602;82.3232484;6
48.8492995213,2.3246745976;129.459762;6
48.8493003981,2.32567302974;7.1914124;6
48.849141763,2.32608632958;25.3477419;6
48.849170136,2.32720828182;274.4735355;6
48.8504768546,2.31737188323;3.8602682;7
48.8506893255,2.31671337149;15.5723515;7
48.8508290013,2.31647174678;57.0636695;7
48.8508609679,2.31923534134;4.0923096;7
48.8510186402,2.31880524589;228.4593981;7
48.8506700823,2.31908863272;148.7584768;7
48.8525785052,2.30933248438;2.8805547;7
48.8516995264,2.31060400991;4.5233112;7
48.8512467751,2.31027238556;9.1172607;7
48.8518559677,2.31284278496;6.6508844;7
48.8512056367,2.31145811103;5.6151577;7
48.8516179931,2.31331491935;3.9384531;7
48.8514261145,2.31587463703;12.1732261;7
48.8515637313,2.31678681224;377.4003414;7
48.851270739,2.3166517951;23.3992537;7
48.8513345081,2.31658157016;92.882167;7
48.8514896353,2.31885919538;18.2189592;7
48.8524964424,2.30966387886;65.006642;7
48.8523848197,2.30974731371;12.8955924;7
48.8522219451,2.31006374822;201.6822214;7
48.852261795,2.31001230362;5.0920478;7
48.851978617,2.31114503772;21.0661875;7
48.8519525513,2.31162014534;174.7381263;7
48.8522619268,2.31306577567;32.2579565;7
48.8523262815,2.31280040424;114.1082252;7
48.8532953421,2.30718798452;2277.2898256;7
48.8531289588,2.30839455763;186.2092512;7
48.8526871759,2.30915965792;14.453923;7
48.8527980494,2.31051711931;7.911764;7
48.8528979549,2.31366400365;214.8751443;7
48.8531696598,2.31400015692;27.2649181;7
48.8527101178,2.31643318683;1104.6240393;7
48.8526032913,2.31741917796;5.1831914;7
48.8522732832,2.31741673473;119.9722302;7
48.8520023017,2.31741674041;1.4238218;7
48.8518509384,2.31734131376;224.114539;7
48.8519939615,2.31735584533;203.6065751;7
48.8518906569,2.31778697388;179.4738635;7
48.8529884575,2.31828965648;14.7478675;7
48.8520438655,2.31854764697;159.3757884;7
48.8524992052,2.31897208085;2.0060791;7
48.8519509563,2.31863953137;23.1265073;7
48.8529811951,2.31885445524;90.114865;7
48.852531851,2.31860794515;39.4368561;7
48.8526891148,2.31871423211;148.3210957;7
48.853081483,2.31696659226;73.23034;7
48.875790318,2.31104004273;117.7600697;8
48.8761387124,2.31106769256;530.0469633;8
48.875492097,2.31176788494;1.6466801;8
48.8756622257,2.31255544694;175.9486146;8
48.8758356187,2.31306274796;19.1138739;8
48.8756793747,2.31532412107;223.1611985;8
48.8759885145,2.31527878524;40.6504751;8
48.8757460399,2.31503987384;56.305399;8
48.8757006311,2.31642459654;34.2328726;8
48.8759047819,2.31663090532;50.1001614;8
48.875947553,2.3168551402;242.1302353;8
48.8758644711,2.31693031723;10.4383506;8
48.8757998928,2.31732324995;142.8080505;8
48.8756882021,2.31813873182;129.7959243;8
48.8756390321,2.31814056623;55.4281034;8
48.8754808767,2.32162114338;66.1290494;8
48.8756734211,2.3220078356;66.5519036;8
48.875424973,2.32208891436;171.3158662;8
48.8753191687,2.32212126692;2.6130868;8
48.8758758367,2.32334351452;24.2892352;8
48.8755356827,2.32273179992;5.0297544;8
48.8762055149,2.30822306818;3.9770006;8
48.8764718815,2.31056162755;4.8570032;8
48.8764049373,2.31387140585;65.3338147;8
48.8763715214,2.31434045588;32.1560974;8
48.8760274868,2.31530331116;11.4534459;8
48.8765009002,2.31488833992;15.7194852;8
48.8764104272,2.31488995657;228.9254006;8
48.876439436,2.31626281789;166.0387725;8
48.876360217,2.31706759877;241.139867;8
48.876237515,2.31762235582;408.7786627;8
48.8760741427,2.31752874967;8.919799;8
48.87632041,2.3174445291;110.7071491;8
48.8769357889,2.31835609604;23.6983705;8
48.8769690552,2.31857642034;159.3505092;8
48.8761570413,2.32137453583;8.4875547;8
48.8763482535,2.32100350697;396.5691429;8
48.8765161384,2.32055668026;6.3012084999999995;8
48.8765152558,2.32060963052;6.3246331;8
48.8726684592,2.32762472844;1.5499995;9
48.8723397565,2.32900174861;23.1080849;9
48.8726247507,2.32952379299;7.1638471;9
48.8726874621,2.33014939765;1.4883993;9
48.873057182,2.33029506871;71.8346589;9
48.8736094659,2.3334279254;36.6763901;9
48.8734648999,2.33325250119;77.5312736;9
48.8738394949,2.33311380996;102.0139018;9
48.8730526974,2.33670496255;7.6944707999999995;9
48.8732115379,2.3273475363;138.2420885;9
48.8728317672,2.32701315116;71.4522841;9
48.8729776731,2.33043967052;133.2361675;9
48.8740171787,2.33212403712;202.0095752;9
48.8731118363,2.33516933256;270.1942403;9
48.8732097975,2.33519087511;4.2579;9
48.8732467669,2.33455617714;214.957648;9
48.8734252854,2.33563389683;151.1531664;9
48.8738361542,2.3368654908;32.0208877;9
48.8737959893,2.33775641612;8.0277591;9
48.8735661917,2.33719566662;712.6761314;9
48.8746455765,2.32917200247;5.2839459;9
48.8742891544,2.32945307321;12.2698097;9
48.8739257301,2.33080784909;114.1076445;9
48.8738411353,2.33097216877;49.1778408;9
48.8740826612,2.33002521757;616.4151897;9
48.8741780906,2.33377134271;67.7196944;9
48.8743409651,2.33368847734;4.6948682;9
48.8739683213,2.33364308285;14.1854965;9
48.8736591457,2.33403399852;10.7546001;9
48.8740122235,2.33452936558;69.6219812;9
48.8741626346,2.33472088378;52.9638011;9
48.8751208102,2.3275701873;368.6035235;9
48.8749410665,2.33047596274;311.6186521;9
48.8749041961,2.33043558051;6.1103727;9
48.8743649379,2.33020466971;36.2685687;9
48.8745966165,2.33269430177;24.0326032;9
48.8747081453,2.33230534787;278.9322124;9
48.8745134605,2.33226720842;111.2635372;9
48.8745532779,2.33306727649;4.541451;9
48.8747499219,2.33290915269;115.7322629;9
48.8747884462,2.33202501398;125.61810439999999;9
48.8745199418,2.33173128383;141.4896825;9
48.8743457602,2.3318015288;137.0810498;9
48.8743873579,2.33377072845;41.110207;9
48.8452570624,2.32708272186;3.5879576;6
48.8455697801,2.32762417719;29.8371632;6
48.8744354511,2.33384593157;133.7437323;9
48.8746503183,2.33366812495;16.3189108;9
48.8743276629,2.33513485124;37.5154396;9
48.8449732081,2.32843078397;188.0036185;6
48.8452728147,2.32791476364;2.0411178;6
48.844935465,2.32806631914;16.6092666;6
48.8689984277,2.30542834196;314.2800284;8
48.8689906443,2.30560967825;612.5041687;8
48.8690038902,2.307419062;321.6442042;8
48.8688275136,2.30739125188;234.7044791;8
48.8689598543,2.3072171457;31.7827206;8
48.870229947,2.29934628932;24.852507;8
48.8697024485,2.29955409157;130.9817049;8
48.8700964879,2.30214106346;3.2459515;8
48.8701272631,2.30179927162;270.1283031;8
48.8696861631,2.30325139709;323.6394251;8
48.8695564651,2.30421409309;271.6412145;8
48.8697907353,2.30431904474;398.2177932;8
48.870075485,2.30399737004;5.2112702;8
48.8699627324,2.30384683848;340.3894804;8
48.8699124443,2.30569339498;2.3638885;8
48.870037324,2.30477937497;2.3665823;8
48.8698895521,2.30517004225;629.0896632;8
48.8696258145,2.30563640062;9.7073862;8
48.8704709738,2.29852341881;57.5079287;8
48.8706116323,2.29811678967;329.6724354;8
48.8710666321,2.29923746233;89.922041;8
48.8707714606,2.29894817125;1440.8822744;8
48.8711402075,2.29934026382;25.727948;8
48.8706947026,2.29951339328;316.2864328;8
48.8710344366,2.30018490099;7.8542217999999995;8
48.8702503739,2.29968593966;25.0245757;8
48.8700832946,2.29967562739;5.9167059;8
48.8703223157,2.29961653699;2.4388243;8
48.8709148656,2.29997950526;118.7765664;8
48.870243365,2.29978629092;5.3546305;8
48.8705091864,2.30022346138;3.1976089;8
48.8701583688,2.29983870953;3.9946216999999997;8
48.8704471128,2.30015273399;3.452011;8
48.8707857164,2.3017717017;131.7508921;8
48.8704969783,2.30042673397;40.0261952;8
48.8705415919,2.30410841095;0.9274473999999999;8
48.8705491897,2.30406698829;0.6804315;8
48.870527628,2.30358884914;104.2962379;8
48.8714506473,2.29752062783;284.8101962;8
48.8717802675,2.29958796245;316.7601472;8
48.8726274092,2.29689409283;301.0305969;8
48.8726765625,2.29675060556;148.2889596;8
48.8719021521,2.2971144693;192.6011952;8
48.8773322076,2.34780221695;11.7664145;9
48.876794275,2.34679939937;7.8215381;9
48.8772385878,2.34722235517;370.4303247;9
48.8772512914,2.34576121704;206.7439531;9
48.8775868679,2.34492303295;189.0093366;9
48.877589423,2.34511171967;12.5172626;9
48.87743608,2.34540152878;34.0225242;9
48.8767425618,2.34799281767;1.5777098;9
48.8774806922,2.34631382108;152.9703198;9
48.8779413164,2.34577586408;1.6924392;9
48.8779388534,2.34532374301;10.1113675;9
48.8779147291,2.34756791745;10.1956707;9
48.8775082925,2.34792749216;24.062488;9
48.8772316794,2.34842547042;201.1354453;9
48.8778116042,2.34759392314;85.5674653;9
48.8783918123,2.34557207869;90.6308435;9
48.8783160891,2.34549580392;1.5982025;9
48.8785352595,2.34900196157;6.1482101;9
48.8778223553,2.34874128743;188.114998;9
48.8781776315,2.34612625033;156.5692693;9
48.8793547583,2.3459182798;222.5856693;9
48.8782998336,2.34721450189;303.6665796;9
48.8785818256,2.34746920006;3.7101235;9
48.8786459452,2.34777475836;4.9538872;9
48.8793111646,2.34782214345;136.9910199;9
48.8793738819,2.3477785103;2.5444825;9
48.8789852386,2.34578646549;73.7031265;9
48.8789436348,2.34846567255;4.608103;9
48.8788504224,2.34799073317;121.1121839;9
48.8793470934,2.34922295854;143.7919074;9
48.8791490182,2.34896640062;188.1742891;9
48.8790285726,2.3489323325;113.4661607;9
48.8790923808,2.34810595879;6.6165327;9
48.8798649526,2.34697896129;77.6392721;9
48.8799188733,2.34901773662;133.9787331;9
48.8798329784,2.34915382489;6.223991;9
48.8798001145,2.34644037531;9.330154;9
48.8799634824,2.34657544475;12.189853;9
48.8803115801,2.34668252242;7.1434676;9
48.8809054088,2.34591063002;218.268746;9
48.8803736946,2.34807736483;56.8513302;9
48.8803951362,2.3475456858;243.7574452;9
48.8811306321,2.34507130499;2.7801804;9
48.8809329383,2.3489589239;3.7828023;9
48.8807041201,2.34886189106;272.2466052;9
48.8803345619,2.34895081281;97.6710804;9
48.8814624078,2.34519968594;131.7300679;9
48.8810448313,2.34899438565;4.3482288;9
48.8433183188,2.33265769927;40.1384171;6
48.8445501057,2.32490255139;4.2920249;6
48.881178245,2.34813478502;10.5542626;9
48.8434951197,2.32646480796;7.1858395999999995;6
48.8436293359,2.32541455095;190.9342718;6
48.8440757595,2.32752724432;1.9318556;6
48.843757469,2.32795568445;168.4051868;6
48.8439031617,2.32800431925;35.0653859;6
48.8438668291,2.32961508292;5.9291131;6
48.8436160328,2.3306808076;16.1887796;6
48.8436066497,2.33085123588;220.0903202;6
48.8433284448,2.3307163113;13.3603294;6
48.8433404573,2.33065572094;10.0598503;6
48.8436207682,2.32970718213;9.7687012;6
48.843657841,2.33136876267;314.8645451;6
48.8432775039,2.33162698904;49.1178479;6
48.8442999697,2.32370932941;178.1680772;6
48.8443139738,2.3247693581;20.8880821;6
48.8455811332,2.32618516156;1.0376086;6
48.8445427244,2.32790989382;20.4637969;6
48.8447627228,2.3294932852;5.9663046;6
48.8444816693,2.32958427435;5.106943;6
48.8441128187,2.32947145513;133.8571243;6
48.8440274931,2.33023077903;4.2077837;6
48.8450665217,2.33133856202;63.032925;6
48.8444246643,2.33114247563;1.2880832;6
48.8446166984,2.33099455493;23.9556317;6
48.8443620712,2.33167214816;106.38544;6
48.8444030522,2.33172697385;3.7205751;6
48.8443912127,2.33193652804;4.4630265;6
48.844993988,2.33206846949;140.6125904;6
48.8450260016,2.3223756726;3.664002;6
48.8450713056,2.32254820424;9.8639963;6
48.8452963735,2.32260130453;97.7880141;6
48.8453917211,2.32271209138;47.8817156;6
48.8453435813,2.32254750542;12.4840962;6
48.8451833521,2.32430801457;10.4530184;6
48.8450857958,2.32466434989;15.797494499999999;6
48.8453346397,2.32503128691;357.2962691;6
48.8484422809,2.31822805426;24.0513355;7
48.8479640717,2.31922422374;1.6942827;7
48.8480782358,2.3191760889;81.3900409;7
48.8479796227,2.31881808238;44.5372507;7
48.8483167826,2.3191024322;27.6601054;7
48.8482789112,2.31980881684;9.1817804;7
48.8484244146,2.32012732009;2.6684476;7
48.8493297436,2.31316356219;14.8634204;7
48.8491787728,2.3136370775;9.8267081;7
48.8490876956,2.31446417343;32.7582848;7
48.8495034253,2.31462930599;7.6084552;7
48.8502497043,2.31678591086;3.5475038999999997;7
48.8504849143,2.31658021555;74.0212138;7
48.8492032111,2.31726646208;16.6377751;7
48.8498679683,2.31767859775;23.8122292;7
48.8491206856,2.31881926887;1.7088250999999999;7
48.848808018,2.31909449819;2.2973765;7
48.8494209313,2.31989690669;3.7551147;7
48.8488467202,2.31971662175;1.1477248;7
48.8487733355,2.31958056967;266.6798108;7
48.8499621644,2.30339549407;410.6707876;7
48.849965098,2.30898359863;2.8319134;7
48.8502776426,2.30904356319;3.714832;7
48.8499440213,2.31398942098;164.206799;7
48.8502894051,2.3142402351;2.57405;7
48.8500257088,2.31608451253;139.7441885;7
48.8504950409,2.31867441698;345.5299518;7
48.8503335723,2.31725182298;6.4589872;7
48.8506122293,2.31890682006;128.3606535;7
48.850589293,2.31901857745;21.1579491;7
48.8502136583,2.31842317569;12.2140251;7
48.8498589394,2.31854317422;27.786538;7
48.8497335896,2.31968838152;74.6800976;7
48.8494865602,2.31938315472;92.9255923;7
48.8505367507,2.30922466254;101.4338573;7
48.8509211008,2.30961571763;103.0723019;7
48.8510231694,2.31043729732;3.9120585;7
48.8510082149,2.31040348921;78.4439477;7
48.850848924,2.31564022505;505.8254805;7
48.8506884098,2.31727998431;27.241817;7
48.8507346756,2.31679593;39.6914511;7
48.866118103,2.30385952352;260.3242519;8
48.8669067064,2.30695726128;1.8490020999999999;8
48.8665928521,2.30631637343;8.2233976;8
48.8663196598,2.30660831626;433.6055802;8
48.8669483994,2.30708597631;124.7252347;8
48.86727199,2.30884300659;13.4674784;8
48.8670362105,2.3087890972;112.6445325;8
48.8669555045,2.30043732744;94.8254091;8
48.8669943428,2.2999606693;85.0009947;8
48.8671872383,2.30162675939;272.7987405;8
48.866974888,2.30321155032;7.6438007;8
48.8676686866,2.30448658984;30.5370411;8
48.8673728505,2.30438073493;646.6993045;8
48.866894761,2.30511803171;99.0950128;8
48.8669680837,2.30459302667;19.0484781;8
48.8667364388,2.30526200997;127.8253278;8
48.8670477006,2.30533513039;21.1786408;8
48.8674243452,2.30666007222;37.6181942;8
48.8677836378,2.30598881453;13.2560275;8
48.8676916973,2.30584295415;41.2813019;8
48.8676302035,2.30601612951;236.479557;8
48.8672223626,2.30795204347;244.3939157;8
48.8672622247,2.30750131559;270.240474;8
48.8672880098,2.30932059182;29.5857144;8
48.8673353099,2.30943285384;14.992926;8
48.8674901425,2.30963777972;54.6996569;8
48.8679409698,2.29950451648;1.7048985;8
48.867912353,2.30051925312;104.1115204;8
48.8678122035,2.30327714383;164.3780586;8
48.8677427313,2.30347817759;326.2439175;8
48.8679634433,2.30432927642;250.2611117;8
48.8679312849,2.30422057008;3.8069758;8
48.8682733642,2.30505675471;190.8519005;8
48.8728664773,2.34400070076;42.9595897;9
48.8728356792,2.34418058922;4.219521;9
48.8732903302,2.34397043986;23.783964;9
48.8735244448,2.33857244122;516.1189303;9
48.8734785918,2.34263197119;6.4242746;9
48.8738218272,2.34040172534;35.615142;9
48.8737504859,2.34374832296;225.3093133;9
48.8739451408,2.34378273539;213.7183236;9
48.8735550724,2.34250970238;6.92728;9
48.8732656051,2.34214645744;8.6875866;9
48.8734780218,2.34211838123;238.501994;9
48.8737901841,2.34190731966;6.2682982;9
48.8736353865,2.34139856976;107.6985747;9
48.8735888097,2.34568261279;199.2381783;9
48.8737691383,2.34541426665;75.1921974;9
48.8737342661,2.34546374803;4.4944923;9
48.8737131623,2.34508878055;51.9848473;9
48.87331258,2.34565537419;114.3509063;9
48.8733240564,2.344096089;46.5621474;9
48.873442284,2.34459884606;119.8866241;9
48.8739018501,2.34049278772;15.4024184;9
48.8738847187,2.33930970507;11.433186;9
48.8740027486,2.33827680354;18.3014679;9
48.8738815346,2.33881765794;44.322455;9
48.8740029417,2.33836617535;13.0924626;9
48.8737610344,2.33850081133;284.5593928;9
48.8737055374,2.33885097959;10.7780199;9
48.8555721226,2.33632944548;2.0744743;6
48.8557925493,2.33648414093;5.680874;6
48.8564113547,2.33228217897;72.2761519;6
48.8567087945,2.3325876659;49.1325573;6
48.8561760886,2.33338468052;233.3411336;6
48.8737459243,2.34742248903;80.964954;9
48.8562018712,2.33358734292;19.6183376;6
48.8561622433,2.33570526886;36.4566086;6
48.8559525299,2.33571650162;37.9368757;6
48.8561613559,2.33563862713;45.3711647;6
48.8565927754,2.33549286172;6.9730297;6
48.8561979137,2.33637147845;140.7041558;6
48.8559227362,2.33598416555;119.8920595;6
48.8570838743,2.33251025877;221.6171752;6
48.8571997238,2.33260587366;218.1719102;6
48.8570156701,2.33514422083;92.7260814;6
48.8568888887,2.33408163201;719.1015421;6
48.8570272757,2.3342673876;268.2198958;6
48.8568941556,2.33645371633;12.1258243;6
48.8577871609,2.3333878471;10.9095674;6
48.8414646285,2.33366391367;6.2551297;6
48.8410698169,2.33396397292;93.0085243;6
48.8411457175,2.33400706593;69.5261628;6
48.8414821704,2.33355051079;122.1188434;6
48.840841525,2.33455774943;97.3461698;6
48.8415226282,2.33541412765;20.3831971;6
48.8415350111,2.335439696;4.8262004;6
48.8408742951,2.33566501055;204.6686457;6
48.8406473542,2.33522236535;55.5758018;6
48.8406347509,2.33564374481;15.124406;6
48.8418722327,2.33197106973;198.477615;6
48.8415179978,2.33247768659;214.4415119;6
48.8415237406,2.33226485988;11.4218847;6
48.841327611,2.33247766718;158.5857839;6
48.8414494876,2.33348824187;1.8651494;6
48.8418080614,2.33367201014;128.4065129;6
48.8418413518,2.33352543437;6.3155651;6
48.8419044731,2.33383356968;143.0450618;6
48.860523335,2.30750569571;182.7149766;7
48.8610500485,2.30789875185;43.5218881;7
48.8610074596,2.30792474925;66.8544461;7
48.8606408306,2.30917244949;53.915365;7
48.8604849118,2.30922218486;6.063473;7
48.8607760399,2.30978008635;45.8429969;7
48.8609829817,2.29752888061;6.9833308;7
48.8613364704,2.29985852451;404.1594359;7
48.861747461,2.30244052269;53.4251135;7
48.8610218138,2.30306545981;129.842052;7
48.8612947593,2.30317098077;8.0345404;7
48.8613093177,2.30291243904;8.0451405;7
48.8619686617,2.30390657376;99.1878935;7
48.861652128,2.3039467266;277.1553371;7
48.861861755,2.30518434099;397.0953661;7
48.8616085044,2.30738778962;256.9464607;7
48.8620886003,2.30805325305;445.2932435;7
48.8612690164,2.30801190345;212.0623598;7
48.8609408261,2.30930938667;3.4515029999999998;7
48.8614030563,2.30961638416;9.7316566;7
48.8613840821,2.30952158727;39.3569732;7
48.8617299377,2.30997743659;23.5167037;7
48.8614951779,2.30957734042;274.7989117;7
48.8615940753,2.30996528528;5.3713017;7
48.8621407313,2.3034689874;291.3624616;7
